"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","2018","Extracts of glands etc. for therapeutic use","Import","4658336","537.333583255787","Weight in kilograms","537.333583255787"
"China","2018","Extracts of glands etc. for therapeutic use","Export","14767945","34126.2798963007","Weight in kilograms","34126.2798963007"
"China","2018","Extracts of glands etc. for therapeutic use","Re-Import","4995","0.576167380017812","Weight in kilograms","0.576167380017812"
"China","2018","Heparin, salts, for therapeutic use","Import","55636136","31730.3672895331","Weight in kilograms","31730.3672895331"
"China","2018","Heparin, salts, for therapeutic use","Export","1275967133","3204149.7417143","Weight in kilograms","3204149.7417143"
"China","2018","Heparin, salts, for therapeutic use","Re-Import","708363","2074","Weight in kilograms","2074"
"China","2018","Vaccines, human use","Import","824742136","361933.026894645","Weight in kilograms","361933.026894645"
"China","2018","Vaccines, human use","Export","115746838","141855.374991105","Weight in kilograms","141855.374991105"
"China","2018","Vaccines, veterinary use, except foot and mouth","Import","363638788","2197302","Weight in kilograms","2197302"
"China","2018","Vaccines, veterinary use, except foot and mouth","Export","13225191","318246.729869998","Weight in kilograms","318246.729869998"
"China","2018","Blood, toxins, cultures, medical use, nes","Import","7171725302","11623995.451252","Weight in kilograms","11623995.451252"
"China","2018","Blood, toxins, cultures, medical use, nes","Export","554934467","14263787.888038","Weight in kilograms","14263787.888038"
"China","2018","Blood, toxins, cultures, medical use, nes","Re-Import","2131153","3510.63479484963","Weight in kilograms","3510.63479484963"
"China","2018","Penicillins or streptomycins and derivatives, in bulk","Import","611819","1324","Weight in kilograms","1324"
"China","2018","Penicillins or streptomycins and derivatives, in bulk","Export","32515573","283410.798601486","Weight in kilograms","283410.798601486"
"China","2018","Antibiotics nes, formulated, in bulk","Import","34787127","1029310.3023971","Weight in kilograms","1029310.3023971"
"China","2018","Antibiotics nes, formulated, in bulk","Export","339149191","57671834.0405828","Weight in kilograms","57671834.0405828"
"China","2018","Antibiotics nes, formulated, in bulk","Re-Import","134307","211","Weight in kilograms","211"
"China","2018","Hormones nes, no antibiotics, bulk, not contraceptive","Import","2428273","247","Weight in kilograms","247"
"China","2018","Hormones nes, no antibiotics, bulk, not contraceptive","Export","304298","32313","Weight in kilograms","32313"
"China","2018","Alkaloids, derivs, without antibiotics, hormones, bul","Import","16228159","181750","Weight in kilograms","181750"
"China","2018","Alkaloids, derivs, without antibiotics, hormones, bul","Export","2897050","130820","Weight in kilograms","130820"
"China","2018","Medicaments nes, formulated, in bulk","Import","253888623","858314.508016219","Weight in kilograms","858314.508016219"
"China","2018","Medicaments nes, formulated, in bulk","Export","312391591","21446048.8516164","Weight in kilograms","21446048.8516164"
"China","2018","Medicaments nes, formulated, in bulk","Re-Import","77251","2811","Weight in kilograms","2811"
"China","2018","Penicillins and streptomycins, derivs, in dosage","Import","181559104","2250273.83066698","Weight in kilograms","2250273.83066698"
"China","2018","Penicillins and streptomycins, derivs, in dosage","Export","194640172","17947372.5381746","Weight in kilograms","17947372.5381746"
"China","2018","Antibiotics nes, in dosage","Import","1692451756","10165990.9242068","Weight in kilograms","10165990.9242068"
"China","2018","Antibiotics nes, in dosage","Export","365248619","51287742.12987","Weight in kilograms","51287742.12987"
"China","2018","Insulin, in dosage","Import","720683029","1374247.3722083","Weight in kilograms","1374247.3722083"
"China","2018","Insulin, in dosage","Export","333609185","787619","Weight in kilograms","787619"
"China","2018","Insulin, in dosage","Re-Import","9421","28","Weight in kilograms","28"
"China","2018","Adrenal cortical hormones, in dosage","Import","1531357606","4916851.05779402","Weight in kilograms","4916851.05779402"
"China","2018","Adrenal cortical hormones, in dosage","Export","41368481","3441166.66439305","Weight in kilograms","3441166.66439305"
"China","2018","Hormones nes, except contraceptives, in dosage","Import","1265247318","1631475.03643246","Weight in kilograms","1631475.03643246"
"China","2018","Hormones nes, except contraceptives, in dosage","Export","44276385","743068.969278551","Weight in kilograms","743068.969278551"
"China","2018","Alkaloids, derivs, no antibiotics, hormones, in dosag","Import","416569261","6110687.30520123","Weight in kilograms","6110687.30520123"
"China","2018","Alkaloids, derivs, no antibiotics, hormones, in dosag","Export","12729699","654257.855081279","Weight in kilograms","654257.855081279"
"China","2018","Vitamins, derivatives,in dosage","Import","296991028","12475823.8015221","Weight in kilograms","12475823.8015221"
"China","2018","Vitamins, derivatives,in dosage","Export","75484094","8794386.11108209","Weight in kilograms","8794386.11108209"
"China","2018","Vitamins, derivatives,in dosage","Re-Import","304","87","Weight in kilograms","87"
"China","2018","Medicaments nes, in dosage","Import","12034675350","68286977.3348035","Weight in kilograms","68286977.3348035"
"China","2018","Medicaments nes, in dosage","Export","2878401980","210812437.398739","Weight in kilograms","210812437.398739"
"China","2018","Medicaments nes, in dosage","Re-Import","2503228","5684.29309200697","Weight in kilograms","5684.29309200697"
"China","2018","Medical dressings etc. having an adhesive layer","Import","159916176","4333480.07797987","Weight in kilograms","4333480.07797987"
"China","2018","Medical dressings etc. having an adhesive layer","Export","449816996","40963471.4553349","Weight in kilograms","40963471.4553349"
"China","2018","Medical dressings etc. having an adhesive layer","Re-Import","455627","45316.4606736052","Weight in kilograms","45316.4606736052"
"China","2018","Medical dressings etc except those with adhesive laye","Import","68596676","1180625.17424967","Weight in kilograms","1180625.17424967"
"China","2018","Medical dressings etc except those with adhesive laye","Export","984783675","166171567.527763","Weight in kilograms","166171567.527763"
"China","2018","Medical dressings etc except those with adhesive laye","Re-Import","624531","88787","Weight in kilograms","88787"
"China","2018","Suture materials, sterile surgical and dental goods","Import","195011401","279527.761783646","Weight in kilograms","279527.761783646"
"China","2018","Suture materials, sterile surgical and dental goods","Export","7656320","242736.146147307","Weight in kilograms","242736.146147307"
"China","2018","Suture materials, sterile surgical and dental goods","Re-Import","142","3","Weight in kilograms","3"
"China","2018","Blood-grouping reagents","Import","57052112","320436.146621055","Weight in kilograms","320436.146621055"
"China","2018","Blood-grouping reagents","Export","1509354","818578.571553669","Weight in kilograms","818578.571553669"
"China","2018","Opacifying preparations, x-ray, diagnostic reagents","Import","205553889","1331049","Weight in kilograms","1331049"
"China","2018","Opacifying preparations, x-ray, diagnostic reagents","Export","571488007","6683102.50962271","Weight in kilograms","6683102.50962271"
"China","2018","Dental cements and other dental fillings, bone cement","Import","153792441","810904.657808144","Weight in kilograms","810904.657808144"
"China","2018","Dental cements and other dental fillings, bone cement","Export","15230976","782266.640155758","Weight in kilograms","782266.640155758"
"China","2018","Dental cements and other dental fillings, bone cement","Re-Import","1106","15.0263636057967","Weight in kilograms","15.0263636057967"
"China","2018","First-aid boxes and kits","Import","8648482","261222.587822088","Weight in kilograms","261222.587822088"
"China","2018","First-aid boxes and kits","Export","176800757","26563404.4088148","Weight in kilograms","26563404.4088148"
"China","2018","First-aid boxes and kits","Re-Import","40021","3073","Weight in kilograms","3073"
"China","2018","Contraceptive preps based on hormones or spermicides","Import","102660977","122917.152955224","Weight in kilograms","122917.152955224"
