"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Germany","2018","Tobacco refuse","Import","16854303.1701718","19921182.109606","Weight in kilograms","19921182.109606"
"Germany","2018","Tobacco refuse","Export","2423674.786538","5190469.02007467","Weight in kilograms","5190469.02007467"
"Germany","2018","Cigars, cheroots and cigarillos, containing tobacco","Import","189621585.253061","3289506.76057486","Weight in kilograms","3289506.76057486"
"Germany","2018","Cigars, cheroots and cigarillos, containing tobacco","Export","215549268.868505","4527760.02353363","Weight in kilograms","4527760.02353363"
"Germany","2018","Cigarettes containing tobacco","Import","1120213066.12548","58567929.6655997","Weight in kilograms","58567929.6655997"
"Germany","2018","Cigarettes containing tobacco","Export","2781865415.20265","111100244.246898","Weight in kilograms","111100244.246898"
"Germany","2018","Cigars, cheroots, cigarettes, with tobacco substitute","Import","545321.17836533","11214","Weight in kilograms","11214"
"Germany","2018","Cigars, cheroots, cigarettes, with tobacco substitute","Export","85960.98121656","355","Weight in kilograms","355"
"Germany","2018","Cigarette or pipe tobacco and tobacco substitute mixe","Import","418667196.68574","26578645.0747951","Weight in kilograms","26578645.0747951"
"Germany","2018","Cigarette or pipe tobacco and tobacco substitute mixe","Export","684493255.485144","50306844.565937","Weight in kilograms","50306844.565937"
"Germany","2018","Homogenized or reconstituted tobacco","Import","42169087.4459749","11349007.3513072","Weight in kilograms","11349007.3513072"
"Germany","2018","Homogenized or reconstituted tobacco","Export","13298195.5777763","1373918.15293244","Weight in kilograms","1373918.15293244"
"Germany","2018","Products of tobacco, substitute nes, extract, essence","Import","57025469.0548761","3692623.67916326","Weight in kilograms","3692623.67916326"
"Germany","2018","Products of tobacco, substitute nes, extract, essence","Export","67728868.9516394","8099117.66986673","Weight in kilograms","8099117.66986673"
"Germany","2017","Tobacco, unmanufactured, not stemmed or stripped","Import","110941478.818488","17814542","Weight in kilograms","17814542"
"Germany","2017","Tobacco, unmanufactured, not stemmed or stripped","Export","47608391.6901128","6389975","Weight in kilograms","6389975"
"Germany","2017","Tobacco, unmanufactured, stemmed or stripped","Import","731690953.631042","114512533","Weight in kilograms","114512533"
"Germany","2017","Tobacco, unmanufactured, stemmed or stripped","Export","422357373.889586","60401196","Weight in kilograms","60401196"
"Germany","2017","Tobacco refuse","Import","16535160.779811","18890618","Weight in kilograms","18890618"
"Germany","2017","Tobacco refuse","Export","6623527.30839133","7110330","Weight in kilograms","7110330"
"Germany","2017","Cigars, cheroots and cigarillos, containing tobacco","Import","164071138.849629","3176873","Weight in kilograms","3176873"
"Germany","2017","Cigars, cheroots and cigarillos, containing tobacco","Export","207388249.291058","4553210","Weight in kilograms","4553210"
"Germany","2017","Cigarettes containing tobacco","Import","754562677.59987","49303661","Weight in kilograms","49303661"
"Germany","2017","Cigarettes containing tobacco","Export","3070596321.47338","130394514","Weight in kilograms","130394514"
