"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","2018","Natural rubber latex, including prevulcanised","Import","644844318","590661729","Weight in kilograms","590661729"
"China","2018","Natural rubber latex, including prevulcanised","Export","605691","607100","Weight in kilograms","607100"
"China","2018","Natural rubber in smoked sheets","Import","397517310","237962966","Weight in kilograms","237962966"
"China","2018","Natural rubber in smoked sheets","Export","9852555","6132467","Weight in kilograms","6132467"
"China","2018","Natural rubber in smoked sheets","Re-Import","228101","120500","Weight in kilograms","120500"
"China","2018","Technically specified natural rubber (TSNR)","Import","2310216839","1609192747","Weight in kilograms","1609192747"
"China","2018","Technically specified natural rubber (TSNR)","Export","6268252","4840135","Weight in kilograms","4840135"
"China","2018","Technically specified natural rubber (TSNR)","Re-Import","153216","100800","Weight in kilograms","100800"
"China","2018","Natural rubber in other forms","Import","254208891","158123760.058511","Weight in kilograms","158123760.058511"
"China","2018","Natural rubber in other forms","Export","3163212","1694219.52170607","Weight in kilograms","1694219.52170607"
"China","2018","Balata, gutta-percha, guayule, chicle and similar gum","Import","36088","2512","Weight in kilograms","2512"
"China","2018","Balata, gutta-percha, guayule, chicle and similar gum","Export","12726","9725","Weight in kilograms","9725"
"China","2018","Styrene-butadiene rubber (SBR/XSBR) latex","Import","198046962","101158917","Weight in kilograms","101158917"
"China","2018","Styrene-butadiene rubber (SBR/XSBR) latex","Export","19934796","17641885.1244867","Weight in kilograms","17641885.1244867"
"China","2018","Styrene-butadiene rubber (SBR/XSBR) latex","Re-Import","11838","2984","Weight in kilograms","2984"
"China","2018","Styrene-butadiene rubber (SBR/XSBR) except latex","Import","853723662","410670240.696546","Weight in kilograms","410670240.696546"
"China","2018","Styrene-butadiene rubber (SBR/XSBR) except latex","Export","126691466","58385232.8433833","Weight in kilograms","58385232.8433833"
"China","2018","Styrene-butadiene rubber (SBR/XSBR) except latex","Re-Import","12199929","2341430","Weight in kilograms","2341430"
"China","2018","Butadiene rubber (BR)","Import","394939312","194104566.491479","Weight in kilograms","194104566.491479"
"China","2018","Butadiene rubber (BR)","Export","90694282","47404910","Weight in kilograms","47404910"
"China","2018","Butadiene rubber (BR)","Re-Import","1959744","908895","Weight in kilograms","908895"
"China","2018","Isobutene-isoprene (butyl) rubber (IIR)","Import","136301186","63824002.661905","Weight in kilograms","63824002.661905"
"China","2018","Isobutene-isoprene (butyl) rubber (IIR)","Export","11425192","5095004.79728221","Weight in kilograms","5095004.79728221"
"China","2018","Halo-isobutene-isoprene rubber (CIIR/BIIR)","Import","491873944","187061745.760608","Weight in kilograms","187061745.760608"
"China","2018","Halo-isobutene-isoprene rubber (CIIR/BIIR)","Export","11917228","4409445","Weight in kilograms","4409445"
"China","2018","Halo-isobutene-isoprene rubber (CIIR/BIIR)","Re-Import","6097","2257","Weight in kilograms","2257"
"China","2018","Chloroprene (chlorobutadiene) rubber (CR) latex","Import","10158846","3368641.17531194","Weight in kilograms","3368641.17531194"
"China","2018","Chloroprene (chlorobutadiene) rubber (CR) latex","Export","24178","7476","Weight in kilograms","7476"
"China","2018","Chloroprene (chlorobutadiene) rubber (CR) except late","Import","94594710","20130425","Weight in kilograms","20130425"
"China","2018","Chloroprene (chlorobutadiene) rubber (CR) except late","Export","58699021","","Weight in kilograms","11996696.406039"
"China","2018","Chloroprene (chlorobutadiene) rubber (CR) except late","Re-Import","109175","15408","Weight in kilograms","15408"
"China","2018","Acrylonitrile-butadiene rubber (NBR), latex","Import","81856278","60625546","Weight in kilograms","60625546"
"China","2018","Acrylonitrile-butadiene rubber (NBR), latex","Export","28732355","23288668","Weight in kilograms","23288668"
"China","2018","Acrylonitrile-butadiene rubber (NBR), latex","Re-Import","23027","18000","Weight in kilograms","18000"
"China","2018","Acrylonitrile-butadiene rubber (NBR) except as latex","Import","236520867","79729566.4776119","Weight in kilograms","79729566.4776119"
"China","2018","Acrylonitrile-butadiene rubber (NBR) except as latex","Export","37109704","11741724.324047","Weight in kilograms","11741724.324047"
"China","2018","Acrylonitrile-butadiene rubber (NBR) except as latex","Re-Import","517331","201575.248148564","Weight in kilograms","201575.248148564"
"China","2018","Isoprene rubber (IR)","Import","74889031","34284471.4254865","Weight in kilograms","34284471.4254865"
"China","2018","Isoprene rubber (IR)","Export","5502518","1564782","Weight in kilograms","1564782"
"China","2018","Isoprene rubber (IR)","Re-Import","54553","7840","Weight in kilograms","7840"
"China","2018","Ethylene-propylene-non-conj diene rubber (EPDM)","Import","500324655","233750488.548731","Weight in kilograms","233750488.548731"
"China","2018","Ethylene-propylene-non-conj diene rubber (EPDM)","Export","31086173","12722564.4248193","Weight in kilograms","12722564.4248193"
"China","2018","Ethylene-propylene-non-conj diene rubber (EPDM)","Re-Import","211766","46646","Weight in kilograms","46646"
"China","2018","Mixtures of natural and synthetic rubbers","Import","4247846801","2950174256","Weight in kilograms","2950174256"
"China","2018","Mixtures of natural and synthetic rubbers","Export","4733394","824775","Weight in kilograms","824775"
"China","2018","Synthetic rubber or factice latex from oils, nes","Import","8716436","","Weight in kilograms","4993205.10425492"
"China","2018","Synthetic rubber or factice latex from oils, nes","Export","9123049","7044833","Weight in kilograms","7044833"
"China","2018","Synthetic rubber, factice except latex from oils, nes","Import","289023383","68194690.2936586","Weight in kilograms","68194690.2936586"
"China","2018","Synthetic rubber, factice except latex from oils, nes","Export","280468823","101159657.337389","Weight in kilograms","101159657.337389"
"China","2018","Synthetic rubber, factice except latex from oils, nes","Re-Import","13273504","2021631","Weight in kilograms","2021631"
"China","2018","Reclaimed rubber in primary forms or in sheets","Import","71737561","96724635.4493688","Weight in kilograms","96724635.4493688"
"China","2018","Reclaimed rubber in primary forms or in sheets","Export","107328675","129446554","Weight in kilograms","129446554"
"China","2018","Reclaimed rubber in primary forms or in sheets","Re-Import","21122","415.359495059845","Weight in kilograms","415.359495059845"
"China","2018","Waste, parings and scrap (except hard rubber)","Export","8317010","4700156.26050288","Weight in kilograms","4700156.26050288"
"China","2018","Compounded (carbon black, silica) unvulcanised rubber","Import","317003843","97283596","Weight in kilograms","97283596"
"China","2018","Compounded (carbon black, silica) unvulcanised rubber","Export","22457353","5903191.08267527","Weight in kilograms","5903191.08267527"
"China","2018","Compounded (carbon black, silica) unvulcanised rubber","Re-Import","46295","10629","Weight in kilograms","10629"
"China","2018","Rubber solutions, dispersions nes","Import","909925","364228","Weight in kilograms","364228"
"China","2018","Rubber solutions, dispersions nes","Export","74418","39444","Weight in kilograms","39444"
"China","2018","Rubber solutions, dispersions nes","Re-Import","32","2","Weight in kilograms","2"
"China","2018","Compounded unvulcanised rubber in plate, sheet, strip","Import","38562562","8685182","Weight in kilograms","8685182"
"China","2018","Compounded unvulcanised rubber in plate, sheet, strip","Export","17567944","7859053.17752065","Weight in kilograms","7859053.17752065"
"China","2018","Compounded unvulcanised rubber in plate, sheet, strip","Re-Import","1974","1209","Weight in kilograms","1209"
"China","2018","Compounded unvulcanised rubber in primary forms nes","Import","33226460","7475269","Weight in kilograms","7475269"
"China","2018","Compounded unvulcanised rubber in primary forms nes","Export","2141960","825786.313170124","Weight in kilograms","825786.313170124"
"China","2018","Compounded unvulcanised rubber in primary forms nes","Re-Import","424551","88150","Weight in kilograms","88150"
"China","2018","Camel-back strips for retreading rubber tyres","Import","636142","303734","Weight in kilograms","303734"
"China","2018","Camel-back strips for retreading rubber tyres","Export","1387886","391523.188573043","Weight in kilograms","391523.188573043"
"China","2018","Rubber unvulcanised as rods, tubes, profiles, etc","Import","15246745","1340138.90289478","Weight in kilograms","1340138.90289478"
"China","2018","Rubber unvulcanised as rods, tubes, profiles, etc","Export","5337971","1271053.92906591","Weight in kilograms","1271053.92906591"
"China","2018","Rubber unvulcanised as rods, tubes, profiles, etc","Re-Import","113078","1419","Weight in kilograms","1419"
"China","2018","Vulcanised rubber thread and cord","Import","258294133","100817711.33517","Weight in kilograms","100817711.33517"
"China","2018","Vulcanised rubber thread and cord","Export","79068728","19213825.701011","Weight in kilograms","19213825.701011"
"China","2018","Vulcanised rubber thread and cord","Re-Import","419172","15982","Weight in kilograms","15982"
"China","2018","Plate, sheet, strip of vulcanised cellular rubber","Import","64106439","6427778.61208345","Weight in kilograms","6427778.61208345"
"China","2018","Plate, sheet, strip of vulcanised cellular rubber","Export","90475746","22263365.0362577","Weight in kilograms","22263365.0362577"
"China","2018","Plate, sheet, strip of vulcanised cellular rubber","Re-Import","2161719","791566","Weight in kilograms","791566"
"China","2018","Rod and profile shapes of vulcanised cellular rubber","Import","2251595","166000.431426547","Weight in kilograms","166000.431426547"
"China","2018","Rod and profile shapes of vulcanised cellular rubber","Export","6188023","1420568.61581681","Weight in kilograms","1420568.61581681"
"China","2018","Rod and profile shapes of vulcanised cellular rubber","Re-Import","92687","2170","Weight in kilograms","2170"
"China","2018","Plate, sheet, strip of vulcanised non-cellular rubber","Import","148974035","18306411.5944691","Weight in kilograms","18306411.5944691"
"China","2018","Plate, sheet, strip of vulcanised non-cellular rubber","Export","186512802","114494703.575422","Weight in kilograms","114494703.575422"
"China","2018","Plate, sheet, strip of vulcanised non-cellular rubber","Re-Import","1065622","170295","Weight in kilograms","170295"
"China","2018","Rods, profile shapes of vulcanised non-cellular rubbe","Import","18320380","3243895.71642033","Weight in kilograms","3243895.71642033"
"China","2018","Rods, profile shapes of vulcanised non-cellular rubbe","Export","12594488","3351186.3597665","Weight in kilograms","3351186.3597665"
"China","2018","Rods, profile shapes of vulcanised non-cellular rubbe","Re-Import","34262","2525","Weight in kilograms","2525"
"China","2018","Rubber tube, pipe or hose not reinforced, no fittings","Import","111799145","5802797.89071497","Weight in kilograms","5802797.89071497"
"China","2018","Rubber tube, pipe or hose not reinforced, no fittings","Export","131194383","22741253.5925826","Weight in kilograms","22741253.5925826"
"China","2018","Rubber tube, pipe or hose not reinforced, no fittings","Re-Import","2497468","101253","Weight in kilograms","101253"
"China","2018","Rubber tube, pipe, hose, metal reinforced, no fitting","Import","94246530","16211481.3293424","Weight in kilograms","16211481.3293424"
