"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","2018","Cotton, not carded or combed","Import","3165656654","1572759561","Weight in kilograms","1572759561"
"China","2018","Cotton, not carded or combed","Export","93277333","47244494","Weight in kilograms","47244494"
"China","2018","Cotton, not carded or combed","Re-Import","983218","515649","Weight in kilograms","515649"
"China","2018","Cotton yarn waste (including thread waste)","Export","640503","329220","Weight in kilograms","329220"
"China","2018","Cotton waste, except garnetted stock","Import","296520","312860","Weight in kilograms","312860"
"China","2018","Cotton, carded or combed","Import","6184561","1739247","Weight in kilograms","1739247"
"China","2018","Cotton, carded or combed","Export","373890","104177","Weight in kilograms","104177"
"China","2018","Cotton sewing thread >85% cotton, not retail","Import","833039","38038.794708874","Weight in kilograms","38038.794708874"
"China","2018","Cotton sewing thread >85% cotton, not retail","Export","9163130","1455929.11222953","Weight in kilograms","1455929.11222953"
"China","2018","Cotton sewing thread >85% cotton, not retail","Re-Import","46270","4475","Weight in kilograms","4475"
"China","2018","Cotton sewing thread, <85% cotton, not retail","Import","483467","49700.5862753303","Weight in kilograms","49700.5862753303"
"China","2018","Cotton sewing thread, <85% cotton, not retail","Export","1430150","141927.297718346","Weight in kilograms","141927.297718346"
"China","2018","Cotton sewing thread, <85% cotton, not retail","Re-Import","3047","303","Weight in kilograms","303"
"China","2018","Cotton sewing thread, retail","Import","43136","2191.20093180251","Weight in kilograms","2191.20093180251"
"China","2018","Cotton sewing thread, retail","Export","8348203","1713816.258208","Weight in kilograms","1713816.258208"
"China","2018","Cotton sewing thread, retail","Re-Import","3142","1462","Weight in kilograms","1462"
"China","2018","Cotton yarn >85% single uncombed >714 dtex,not retail","Import","298926158","142336538","Weight in kilograms","142336538"
"China","2018","Cotton yarn >85% single uncombed >714 dtex,not retail","Export","28973203","7017111.20333957","Weight in kilograms","7017111.20333957"
"China","2018","Cotton yarn >85% single uncombed >714 dtex,not retail","Re-Import","4868255","2045240","Weight in kilograms","2045240"
"China","2018","Cotton yarn >85% single uncombed 714-232 dtex,not ret","Import","2477363238","985418719","Weight in kilograms","985418719"
"China","2018","Cotton yarn >85% single uncombed 714-232 dtex,not ret","Export","37548362","10614544","Weight in kilograms","10614544"
"China","2018","Cotton yarn >85% single uncombed 714-232 dtex,not ret","Re-Import","2657740","1067818","Weight in kilograms","1067818"
"China","2018","Cotton yarn >85% single uncombed 232-192 dtex,not ret","Import","169867070","54166420","Weight in kilograms","54166420"
"China","2018","Cotton yarn >85% single uncombed 232-192 dtex,not ret","Export","22726335","7041345.54915994","Weight in kilograms","7041345.54915994"
"China","2018","Cotton yarn >85% single uncombed 232-192 dtex,not ret","Re-Import","7614586","2419128","Weight in kilograms","2419128"
"China","2018","Cotton yarn >85% single uncombed 192-125 dtex,not ret","Import","881988065","301551106","Weight in kilograms","301551106"
"China","2018","Cotton yarn >85% single uncombed 192-125 dtex,not ret","Export","37142183","11265173","Weight in kilograms","11265173"
"China","2018","Cotton yarn >85% single uncombed 192-125 dtex,not ret","Re-Import","10317074","3094364","Weight in kilograms","3094364"
"China","2018","Cotton yarn >85% single uncombed <125 dtex, not retai","Import","11111","2423","Weight in kilograms","2423"
"China","2018","Cotton yarn >85% single uncombed <125 dtex, not retai","Export","304173","63282.7046291426","Weight in kilograms","63282.7046291426"
"China","2018","Cotton yarn >85% single uncombed <125 dtex, not retai","Re-Import","892","988","Weight in kilograms","988"
"China","2018","Cotton yarn >85% single combed >714dtex, not retail","Import","1577475","334385","Weight in kilograms","334385"
"China","2018","Cotton yarn >85% single combed >714dtex, not retail","Export","3338923","514071","Weight in kilograms","514071"
"China","2018","Cotton yarn >85% single combed >714dtex, not retail","Re-Import","226817","36594","Weight in kilograms","36594"
"China","2018","Cotton yarn >85% single combed 714-232 dtex,not retai","Import","295290878","92289009","Weight in kilograms","92289009"
"China","2018","Cotton yarn >85% single combed 714-232 dtex,not retai","Export","236141260","63752641","Weight in kilograms","63752641"
"China","2018","Cotton yarn >85% single combed 714-232 dtex,not retai","Re-Import","10536528","2897572","Weight in kilograms","2897572"
"China","2018","Cotton yarn >85% single combed 232-192 dtex,not retai","Import","341122630","100967118","Weight in kilograms","100967118"
"China","2018","Cotton yarn >85% single combed 232-192 dtex,not retai","Export","113453597","23000857","Weight in kilograms","23000857"
"China","2018","Cotton yarn >85% single combed 232-192 dtex,not retai","Re-Import","16528446","4738778","Weight in kilograms","4738778"
"China","2018","Cotton yarn >85% single combed 192-125 dtex, not ret.","Import","695011158","197974727","Weight in kilograms","197974727"
"China","2018","Cotton yarn >85% single combed 192-125 dtex, not ret.","Export","248330738","62774379.022283","Weight in kilograms","62774379.022283"
"China","2018","Cotton yarn >85% single combed 192-125 dtex, not ret.","Re-Import","57318464","15715279","Weight in kilograms","15715279"
"China","2018","Cotton yarn >85% single combed <125 dtex, not retail","Import","22788725","4285350","Weight in kilograms","4285350"
"China","2018","Cotton yarn >85% single combed <125 dtex, not retail","Export","205582888","36528586","Weight in kilograms","36528586"
"China","2018","Cotton yarn >85% single combed <125 dtex, not retail","Re-Import","497156","115673","Weight in kilograms","115673"
