"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","2018","Coffee, not roasted, not decaffeinated","Import","136305064","50996287.5634769","Weight in kilograms","50996287.5634769"
"China","2018","Coffee, not roasted, not decaffeinated","Export","191846209","90070094","Weight in kilograms","90070094"
"China","2018","Coffee, not roasted, decaffeinated","Import","182376","37489","Weight in kilograms","37489"
"China","2018","Coffee, not roasted, decaffeinated","Export","48322","7680","Weight in kilograms","7680"
"China","2018","Coffee, roasted, not decaffeinated","Import","155837128","14618947.6585566","Weight in kilograms","14618947.6585566"
"China","2018","Coffee, roasted, not decaffeinated","Export","38236665","3748984","Weight in kilograms","3748984"
"China","2018","Coffee, roasted, not decaffeinated","Re-Import","350369","29059","Weight in kilograms","29059"
"China","2018","Coffee, roasted, decaffeinated","Import","8996837","712848.040892381","Weight in kilograms","712848.040892381"
"China","2018","Coffee, roasted, decaffeinated","Export","256577","24931","Weight in kilograms","24931"
"China","2018","Coffee, roasted, decaffeinated","Re-Import","378","20.5054304948456","Weight in kilograms","20.5054304948456"
"China","2018","Coffee husks and skins","Import","240815","19318.4287346532","Weight in kilograms","19318.4287346532"
"China","2018","Coffee husks and skins","Export","108169","48694","Weight in kilograms","48694"
"China","2018","Coffee husks and skins","Re-Import","362","37","Weight in kilograms","37"
"China","2018","Tea, green (unfermented) in packages < 3 kg","Import","8651310","802504.385993328","Weight in kilograms","802504.385993328"
"China","2018","Tea, green (unfermented) in packages < 3 kg","Export","668894856","123553585.84713","Weight in kilograms","123553585.84713"
"China","2018","Tea, green (unfermented) in packages < 3 kg","Re-Import","1504704","211852","Weight in kilograms","211852"
"China","2018","Tea, green (unfermented) in packages > 3 kg","Import","12655330","2625890.02882775","Weight in kilograms","2625890.02882775"
"China","2018","Tea, green (unfermented) in packages > 3 kg","Export","619756224","186247323","Weight in kilograms","186247323"
"China","2018","Tea, green (unfermented) in packages > 3 kg","Re-Import","1978750","643354.224784408","Weight in kilograms","643354.224784408"
"China","2018","Tea, black (fermented or partly) in packages < 3 kg","Import","40654593","2954964.42672577","Weight in kilograms","2954964.42672577"
"China","2018","Tea, black (fermented or partly) in packages < 3 kg","Export","212342329","10226205.2634754","Weight in kilograms","10226205.2634754"
"China","2018","Tea, black (fermented or partly) in packages < 3 kg","Re-Import","793854","54766.6166470136","Weight in kilograms","54766.6166470136"
"China","2018","Tea, black (fermented or partly) in packages > 3 kg","Import","115862993","29069488.5338324","Weight in kilograms","29069488.5338324"
"China","2018","Tea, black (fermented or partly) in packages > 3 kg","Export","284371154","44787986","Weight in kilograms","44787986"
"China","2018","Tea, black (fermented or partly) in packages > 3 kg","Re-Import","11210","1795.53402407174","Weight in kilograms","1795.53402407174"
"China","2018","Mate","Import","335708","80236.9312349","Weight in kilograms","80236.9312349"
"China","2018","Pepper of the genus Piper, whole","Import","23255566","5269671.27569169","Weight in kilograms","5269671.27569169"
"China","2018","Pepper of the genus Piper, whole","Export","9713868","1606330","Weight in kilograms","1606330"
"China","2018","Pepper of the genus Piper, whole","Re-Import","1268","91","Weight in kilograms","91"
"China","2018","Pepper of the genus Piper, crushed or ground","Import","4221675","602778.997368321","Weight in kilograms","602778.997368321"
"China","2018","Pepper of the genus Piper, crushed or ground","Export","10225834","916420.126848757","Weight in kilograms","916420.126848757"
"China","2018","Pepper of the genus Piper, crushed or ground","Re-Import","82588","8055","Weight in kilograms","8055"
"China","2018","Capsicum or Pimenta, dried, crushed or ground","Import","110395876","81811254.7573968","Weight in kilograms","81811254.7573968"
"China","2018","Capsicum or Pimenta, dried, crushed or ground","Export","534369385","210786817","Weight in kilograms","210786817"
"China","2018","Capsicum or Pimenta, dried, crushed or ground","Re-Import","783437","242814","Weight in kilograms","242814"
"China","2018","Vanilla beans","Import","2364942","4601.9871428079","Weight in kilograms","4601.9871428079"
"China","2018","Cinnamon and cinnamon-tree flowers whole","Import","1413264","425668.504822812","Weight in kilograms","425668.504822812"
"China","2018","Cinnamon and cinnamon-tree flowers whole","Export","116388896","52302384.4485787","Weight in kilograms","52302384.4485787"
"China","2018","Cinnamon and cinnamon-tree flowers crushed or ground","Import","207421","74957.202690583","Weight in kilograms","74957.202690583"
"China","2018","Cinnamon and cinnamon-tree flowers crushed or ground","Export","19142282","7821645","Weight in kilograms","7821645"
"China","2018","Cloves (whole fruit, cloves and stems)","Import","116239","14712.2684227479","Weight in kilograms","14712.2684227479"
"China","2018","Cloves (whole fruit, cloves and stems)","Export","1345778","312005","Weight in kilograms","312005"
"China","2018","Nutmeg","Import","306548","30332.0848874598","Weight in kilograms","30332.0848874598"
"China","2018","Nutmeg","Export","790140","17423","Weight in kilograms","17423"
"China","2018","Mace","Import","8012","300","Weight in kilograms","300"
"China","2018","Cardamoms","Import","85334","9690.41289725613","Weight in kilograms","9690.41289725613"
"China","2018","Anise or badian seeds","Import","239167","69486.5556430336","Weight in kilograms","69486.5556430336"
"China","2018","Anise or badian seeds","Export","50250436","14463665","Weight in kilograms","14463665"
"China","2018","Anise or badian seeds","Re-Import","1146","129","Weight in kilograms","129"
"China","2018","Coriander seeds","Import","40179","19728","Weight in kilograms","19728"
