"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","2018","Raw sugar, cane","Import","791806979","2265152662.60392","Weight in kilograms","2265152662.60392"
"China","2018","Raw sugar, cane","Export","7568031","14626752.8524821","Weight in kilograms","14626752.8524821"
"China","2018","Raw sugar, beet","Import","217784","120151","Weight in kilograms","120151"
"China","2018","Raw sugar, beet","Export","709","294","Weight in kilograms","294"
"China","2018","Refined sugar, in solid form, flavoured or coloured","Import","23319","28783.2343254138","Weight in kilograms","28783.2343254138"
"China","2018","Refined sugar, in solid form, flavoured or coloured","Export","11725","6853","Weight in kilograms","6853"
"China","2018","Refined sugar, in solid form, nes, pure sucrose","Import","237947838","534763877.513364","Weight in kilograms","534763877.513364"
"China","2018","Refined sugar, in solid form, nes, pure sucrose","Export","93023950","181113221","Weight in kilograms","181113221"
"China","2018","Refined sugar, in solid form, nes, pure sucrose","Re-Import","17942","27314","Weight in kilograms","27314"
"China","2018","Lactose and lactose syrup","Import","98577796","117241852.982306","Weight in kilograms","117241852.982306"
"China","2018","Lactose and lactose syrup","Export","3310974","1103250","Weight in kilograms","1103250"
"China","2018","Lactose and lactose syrup","Re-Import","715","80","Weight in kilograms","80"
"China","2018","Maple sugar and maple syrup","Import","1139979","122701.14893841","Weight in kilograms","122701.14893841"
"China","2018","Maple sugar and maple syrup","Export","168","42","Weight in kilograms","42"
"China","2018","Glucose, glucose syrup < 20% fructose","Import","2817290","1959354.61152184","Weight in kilograms","1959354.61152184"
"China","2018","Glucose, glucose syrup < 20% fructose","Export","346589771","743486521","Weight in kilograms","743486521"
"China","2018","Glucose, glucose syrup < 20% fructose","Re-Import","307","25","Weight in kilograms","25"
"China","2018","Glucose including syrup of 20%-50% dry weight fructos","Import","762929","1092158.43974324","Weight in kilograms","1092158.43974324"
"China","2018","Glucose including syrup of 20%-50% dry weight fructos","Export","13112150","","Weight in kilograms","12581002.7247307"
"China","2018","Fructose, chemically pure","Import","2644552","","Weight in kilograms","2175960.01388754"
"China","2018","Fructose, chemically pure","Export","6694055","7191547","Weight in kilograms","7191547"
"China","2018","Fructose, syrup > 50% fructose, not pure fructose","Import","6180405","2891497.46341073","Weight in kilograms","2891497.46341073"
"China","2018","Fructose, syrup > 50% fructose, not pure fructose","Export","109365009","302409512.545024","Weight in kilograms","302409512.545024"
"China","2018","Fructose, syrup > 50% fructose, not pure fructose","Re-Import","289","19.953436203288","Weight in kilograms","19.953436203288"
"China","2018","Sugar nes, invert sugar, caramel and artificial honey","Import","36145014","21957950.4778097","Weight in kilograms","21957950.4778097"
"China","2018","Sugar nes, invert sugar, caramel and artificial honey","Export","312606084","466286315","Weight in kilograms","466286315"
"China","2018","Sugar nes, invert sugar, caramel and artificial honey","Re-Import","2391320","1257507","Weight in kilograms","1257507"
"China","2018","Cane molasses","Export","159410","366251","Weight in kilograms","366251"
"China","2018","Molasses, except cane molasses","Export","13597","14416","Weight in kilograms","14416"
"China","2018","Chewing gum containing sugar, except medicinal","Import","2618813","317928.165178011","Weight in kilograms","317928.165178011"
"China","2018","Chewing gum containing sugar, except medicinal","Export","112653933","42894224","Weight in kilograms","42894224"
"China","2018","Chewing gum containing sugar, except medicinal","Re-Import","4176","99","Weight in kilograms","99"
"China","2018","Sugar confectionery not chewing gum, no cocoa content","Import","241330833","66391049.628636","Weight in kilograms","66391049.628636"
"China","2018","Sugar confectionery not chewing gum, no cocoa content","Export","823144740","290573342","Weight in kilograms","290573342"
"China","2018","Sugar confectionery not chewing gum, no cocoa content","Re-Import","365654","19732","Weight in kilograms","19732"
"China","2017","Raw sugar, cane","Import","832043220","1821540025","Weight in kilograms","1821540025"
"China","2017","Raw sugar, cane","Export","11113362","24839550","Weight in kilograms","24839550"
"China","2017","Raw sugar, beet","Import","687344","301252","Weight in kilograms","301252"
"China","2017","Raw sugar, beet","Export","1859","1591","Weight in kilograms","1591"
"China","2017","Refined sugar, in solid form, flavoured or coloured","Import","48051","31056.7318548387","Weight in kilograms","31056.7318548387"
"China","2017","Refined sugar, in solid form, flavoured or coloured","Export","8496","5126","Weight in kilograms","5126"
"China","2017","Refined sugar, in solid form, nes, pure sucrose","Import","245699761","468365229.40988","Weight in kilograms","468365229.40988"
"China","2017","Refined sugar, in solid form, nes, pure sucrose","Export","79469536","133086718","Weight in kilograms","133086718"
"China","2017","Refined sugar, in solid form, nes, pure sucrose","Re-Import","9863","2241","Weight in kilograms","2241"
