"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","2018","Wheat or meslin flour","Import","75603115","219141834.963955","Weight in kilograms","219141834.963955"
"China","2018","Wheat or meslin flour","Export","114536884","278170543","Weight in kilograms","278170543"
"China","2018","Wheat or meslin flour","Re-Import","1557","257","Weight in kilograms","257"
"China","2018","Maize (corn) flour","Import","1643307","2688478","Weight in kilograms","2688478"
"China","2018","Maize (corn) flour","Export","16424","17477","Weight in kilograms","17477"
"China","2018","Cereal flour except wheat, meslin, rye, maize, rice","Import","38895707","38681733.9779952","Weight in kilograms","38681733.9779952"
"China","2018","Cereal flour except wheat, meslin, rye, maize, rice","Export","1121191","1192051","Weight in kilograms","1192051"
"China","2018","Wheat meal","Import","1557123","3450623","Weight in kilograms","3450623"
"China","2018","Wheat meal","Export","8687","16434","Weight in kilograms","16434"
"China","2018","Maize (corn) groats or meal","Export","137880","156402","Weight in kilograms","156402"
"China","2018","Cereal groats or meal except wheat, maize, rice, oats","Import","400245","1199249","Weight in kilograms","1199249"
"China","2018","Cereal groats or meal except wheat, maize, rice, oats","Export","4280","2672.23319228961","Weight in kilograms","2672.23319228961"
"China","2018","Oats, rolled or flaked grains","Import","4761117","7127585.98816285","Weight in kilograms","7127585.98816285"
"China","2018","Oats, rolled or flaked grains","Export","22892","8800","Weight in kilograms","8800"
"China","2018","Oats, rolled or flaked grains","Re-Import","902","20","Weight in kilograms","20"
"China","2018","Cereals, rolled or flaked grains nes","Import","61327","13591.1080851897","Weight in kilograms","13591.1080851897"
"China","2018","Cereals, rolled or flaked grains nes","Export","4496","1732","Weight in kilograms","1732"
"China","2018","Oats, hulled, pearled, sliced or kibbled","Import","1422500","1950941.97190564","Weight in kilograms","1950941.97190564"
"China","2018","Oats, hulled, pearled, sliced or kibbled","Export","32419","35886","Weight in kilograms","35886"
"China","2018","Cereals, hulled, pearled, sliced or kibbled nes","Import","21880064","24108359.9890972","Weight in kilograms","24108359.9890972"
"China","2018","Cereals, hulled, pearled, sliced or kibbled nes","Export","35545357","57548364","Weight in kilograms","57548364"
"China","2018","Germ of cereals, whole, rolled, flaked or ground","Import","43753","22773","Weight in kilograms","22773"
"China","2018","Germ of cereals, whole, rolled, flaked or ground","Export","240076","312427","Weight in kilograms","312427"
"China","2018","Potato flour or meal","Import","6591182","5458456","Weight in kilograms","5458456"
"China","2018","Potato flour or meal","Export","390940","316988","Weight in kilograms","316988"
"China","2018","Potato flakes, granules and pellets","Import","5230999","4107573","Weight in kilograms","4107573"
"China","2018","Potato flakes, granules and pellets","Export","471662","367280","Weight in kilograms","367280"
"China","2018","Flour or meal of dried legumes","Import","6559417","24118572","Weight in kilograms","24118572"
"China","2018","Flour or meal of dried legumes","Export","2321235","1861715","Weight in kilograms","1861715"
"China","2018","Flour or meal of sago, starchy roots or tubers","Import","4039570","8646041","Weight in kilograms","8646041"
"China","2018","Flour or meal of sago, starchy roots or tubers","Export","10035713","2591273.87307888","Weight in kilograms","2591273.87307888"
"China","2018","Flour, meal, powder of fruit/nut, citrus or melon pee","Import","7134587","880900.754055781","Weight in kilograms","880900.754055781"
"China","2018","Flour, meal, powder of fruit/nut, citrus or melon pee","Export","10556507","1140371.07413506","Weight in kilograms","1140371.07413506"
"China","2018","Malt, not roasted","Import","457829","764452","Weight in kilograms","764452"
"China","2018","Malt, not roasted","Export","191361944","453860323","Weight in kilograms","453860323"
"China","2018","Malt, roasted","Import","6160060","8534127","Weight in kilograms","8534127"
"China","2018","Malt, roasted","Export","7321881","13627236","Weight in kilograms","13627236"
"China","2018","Wheat, starch","Import","673825","1195876.0859383","Weight in kilograms","1195876.0859383"
"China","2018","Wheat, starch","Export","1842997","3487115","Weight in kilograms","3487115"
"China","2018","Wheat, starch","Re-Import","10600","20000","Weight in kilograms","20000"
"China","2018","Maize (corn) starch","Import","2474310","2525920","Weight in kilograms","2525920"
"China","2018","Maize (corn) starch","Export","188206468","519148870.758401","Weight in kilograms","519148870.758401"
"China","2018","Maize (corn) starch","Re-Import","13129","9477","Weight in kilograms","9477"
"China","2018","Potato starch","Import","41050339","48746129","Weight in kilograms","48746129"
"China","2018","Potato starch","Export","1860848","1777847","Weight in kilograms","1777847"
"China","2018","Manioc (cassava) starch","Import","938579666","2008596259","Weight in kilograms","2008596259"
"China","2018","Manioc (cassava) starch","Export","555927","699843","Weight in kilograms","699843"
"China","2018","Starches except wheat, maize, potato, manioc","Import","3984425","6260443","Weight in kilograms","6260443"
"China","2018","Starches except wheat, maize, potato, manioc","Export","43840549","42585622","Weight in kilograms","42585622"
"China","2018","Inulin","Import","8857121","3502629","Weight in kilograms","3502629"
"China","2018","Inulin","Export","3038860","872683","Weight in kilograms","872683"
"China","2018","Wheat gluten","Import","2514603","1275001","Weight in kilograms","1275001"
"China","2018","Wheat gluten","Export","178452238","110924996","Weight in kilograms","110924996"
"China","2018","Wheat gluten","Re-Import","66792","44000","Weight in kilograms","44000"
"China","2017","Wheat or meslin flour","Import","50750055","124837621","Weight in kilograms","124837621"
"China","2017","Wheat or meslin flour","Export","81333480","172595936","Weight in kilograms","172595936"
"China","2017","Wheat or meslin flour","Re-Import","57","24","Weight in kilograms","24"
"China","2017","Maize (corn) flour","Import","1114968","1660356","Weight in kilograms","1660356"
"China","2017","Maize (corn) flour","Export","215678","677198","Weight in kilograms","677198"
"China","2017","Cereal flour except wheat, meslin, rye, maize, rice","Import","31624708","31824403","Weight in kilograms","31824403"
"China","2017","Cereal flour except wheat, meslin, rye, maize, rice","Export","978987","930761","Weight in kilograms","930761"
"China","2017","Cereal flour except wheat, meslin, rye, maize, rice","Re-Import","117","34","Weight in kilograms","34"
"China","2017","Wheat meal","Import","403653","855832","Weight in kilograms","855832"
"China","2017","Wheat meal","Export","1643","2369","Weight in kilograms","2369"
"China","2017","Maize (corn) groats or meal","Import","1067","230","Weight in kilograms","230"
"China","2017","Maize (corn) groats or meal","Export","113602","111451","Weight in kilograms","111451"
"China","2017","Cereal groats or meal except wheat, maize, rice, oats","Import","276276","784613","Weight in kilograms","784613"
