"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","2018","Pedestrian controlled tractors","Import","7970","1118.64838027446","Number of items","2"
"China","2018","Pedestrian controlled tractors","Export","78562963","5595489.14649886","Number of items","96247"
"China","2018","Road tractors for semi-trailers (truck tractors)","Import","332998463","51924950.6937954","Number of items","4759"
"China","2018","Road tractors for semi-trailers (truck tractors)","Export","867047340","143790423.329038","Number of items","23906"
"China","2018","Track-laying tractors (crawlers)","Import","10899317","927788.054350074","Number of items","58"
"China","2018","Track-laying tractors (crawlers)","Export","2786209","181337.07021338","Number of items","116"
"China","2018","Track-laying tractors (crawlers)","Re-Import","1694","144.199215792056","Number of items","1"
"China","2018","Wheeled tractors nes","Import","88236260","7081160.20593319","Number of items","1002"
"China","2018","Wheeled tractors nes","Export","509001831","54213509.2560149","Number of items","58881"
"China","2018","Diesel powered buses","Import","1633844","143356.914505026","Number of items","7"
"China","2018","Diesel powered buses","Export","1909140341","148333153.455539","Number of items","35831"
"China","2018","Buses except diesel powered","Import","15862331","1605471.18360176","Number of items","376"
"China","2018","Buses except diesel powered","Export","395853334","","Number of items","21015"
"China","2018","Buses except diesel powered","Re-Import","243795","25173.8145520566","Number of items","1"
"China","2018","Snowmobiles, golf cars, similar vehicles","Import","15814544","1162782.27940835","Number of items","1419"
"China","2018","Snowmobiles, golf cars, similar vehicles","Export","701400685","36890977.0268814","Number of items","633715"
"China","2018","Snowmobiles, golf cars, similar vehicles","Re-Import","88656","6518.53292533926","Number of items","210"
"China","2018","Automobiles, spark ignition engine of <1000 cc","Import","219954931","20560092.0649959","Number of items","19013"
"China","2018","Automobiles, spark ignition engine of <1000 cc","Export","145832552","14065018.4356644","Number of items","16937"
"China","2018","Automobiles, spark ignition engine of 1000-1500 cc","Import","1138297460","98939277.8132256","Number of items","59779"
"China","2018","Automobiles, spark ignition engine of 1000-1500 cc","Export","2961803218","255976815.275247","Number of items","367369"
"China","2018","Automobiles, spark ignition engine of 1500-3000 cc","Import","36840852678","2665082959.68511","Number of items","803928"
"China","2018","Automobiles, spark ignition engine of 1500-3000 cc","Export","4064790957","265375827.004988","Number of items","299782"
"China","2018","Automobiles, spark ignition engine of 1500-3000 cc","Re-Import","102387","7406.71914893617","Number of items","1"
"China","2018","Automobiles, spark ignition engine of >3000 cc","Import","7402021961","290225914.254019","Number of items","149555"
"China","2018","Automobiles, spark ignition engine of >3000 cc","Export","13473558","","Number of items","198"
"China","2018","Automobiles, diesel engine of <1500 cc","Export","873378","88663.7307513171","Number of items","34"
"China","2018","Automobiles, diesel engine of 1500-2500 cc","Import","49612443","3762412.33870917","Number of items","1194"
"China","2018","Automobiles, diesel engine of 1500-2500 cc","Export","359118699","26024068.5550623","Number of items","12178"
"China","2018","Automobiles, diesel engine of >2500 cc","Import","687484338","34213361.7945323","Number of items","8086"
"China","2018","Automobiles, diesel engine of >2500 cc","Export","23444820","1099213.17499445","Number of items","1147"
"China","2018","Automobiles nes including gas turbine powered","Import","3255585584","190140599.278202","Number of items","78506"
"China","2018","Automobiles nes including gas turbine powered","Export","355940645","","Number of items","164219.413463855"
"China","2018","Dump trucks designed for off-highway use","Import","16687368","2135497.25764787","Number of items","39"
"China","2018","Dump trucks designed for off-highway use","Export","472267112","48707434.3248774","Number of items","5963"
