"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","2018","Coconuts, fresh or dried","Import","223921236","462296861.586944","Weight in kilograms","462296861.586944"
"China","2018","Coconuts, fresh or dried","Export","369832","361105","Weight in kilograms","361105"
"China","2018","Brazil nuts, fresh or dried","Import","2557339","857206","Weight in kilograms","857206"
"China","2018","Cashew nuts, fresh or dried","Import","100862130","17527609.4197863","Weight in kilograms","17527609.4197863"
"China","2018","Cashew nuts, fresh or dried","Export","264472","68533","Weight in kilograms","68533"
"China","2018","Almonds in shell fresh or dried","Import","68425608","15643133","Weight in kilograms","15643133"
"China","2018","Almonds in shell fresh or dried","Export","825946","201705","Weight in kilograms","201705"
"China","2018","Almonds,fresh or dried, shelled","Import","134909584","19908610","Weight in kilograms","19908610"
"China","2018","Almonds,fresh or dried, shelled","Export","1194469","210434","Weight in kilograms","210434"
"China","2018","Hazelnuts and filberts in shell fresh or dried","Import","12270397","5640416","Weight in kilograms","5640416"
"China","2018","Hazelnuts and filberts in shell fresh or dried","Export","79200","9100","Weight in kilograms","9100"
"China","2018","Hazelnuts and filberts, fresh or dried, shelled","Import","21571026","2301537.82853106","Weight in kilograms","2301537.82853106"
"China","2018","Hazelnuts and filberts, fresh or dried, shelled","Export","11508","2928","Weight in kilograms","2928"
"China","2018","Walnuts in shell, fresh or dried","Import","14311076","4868381","Weight in kilograms","4868381"
"China","2018","Walnuts in shell, fresh or dried","Export","64275489","19044475","Weight in kilograms","19044475"
"China","2018","Walnuts, fresh or dried, shelled","Import","19795354","2498440","Weight in kilograms","2498440"
"China","2018","Walnuts, fresh or dried, shelled","Export","85693021","12844384.5995534","Weight in kilograms","12844384.5995534"
"China","2018","Chestnuts, fresh or dried","Import","19977187","7869161","Weight in kilograms","7869161"
"China","2018","Chestnuts, fresh or dried","Export","78581017","36358803","Weight in kilograms","36358803"
"China","2018","Chestnuts, fresh or dried","Re-Import","47883","23870","Weight in kilograms","23870"
"China","2018","Pistachios, fresh or dried","Import","352596284","54613119","Weight in kilograms","54613119"
"China","2018","Pistachios, fresh or dried","Export","20761894","3443838","Weight in kilograms","3443838"
"China","2018","Nuts edible, fresh or dried, nes","Import","288899297","52210462.7416954","Weight in kilograms","52210462.7416954"
"China","2018","Nuts edible, fresh or dried, nes","Export","200985116","18281003.6171305","Weight in kilograms","18281003.6171305"
"China","2018","Nuts edible, fresh or dried, nes","Re-Import","348755","38752","Weight in kilograms","38752"
"China","2018","Bananas, including plantains, fresh or dried","Import","896812169","1544609644","Weight in kilograms","1544609644"
"China","2018","Bananas, including plantains, fresh or dried","Export","19651676","20234296","Weight in kilograms","20234296"
"China","2018","Dates, fresh or dried","Import","5165940","10526186","Weight in kilograms","10526186"
"China","2018","Figs, fresh or dried","Import","3140648","1009398","Weight in kilograms","1009398"
"China","2018","Figs, fresh or dried","Export","575913","86063","Weight in kilograms","86063"
"China","2018","Figs, fresh or dried","Re-Import","122","114","Weight in kilograms","114"
"China","2018","Pineapples, fresh or dried","Import","182730819","185995513","Weight in kilograms","185995513"
"China","2018","Pineapples, fresh or dried","Export","7510917","5971710","Weight in kilograms","5971710"
"China","2018","Avocados, fresh or dried","Import","133380311","43859040","Weight in kilograms","43859040"
"China","2018","Avocados, fresh or dried","Export","1758","1024","Weight in kilograms","1024"
"China","2018","Guavas, mangoes and mangosteens, fresh or dried","Import","370643554","170668482","Weight in kilograms","170668482"
"China","2018","Guavas, mangoes and mangosteens, fresh or dried","Export","43439065","26328646","Weight in kilograms","26328646"
"China","2018","Oranges, fresh or dried","Import","436798063","390108543","Weight in kilograms","390108543"
"China","2018","Oranges, fresh or dried","Export","107533386","61505761","Weight in kilograms","61505761"
"China","2018","Mandarin, clementine & citrus hybrids, fresh or dried","Import","88520681","52585196","Weight in kilograms","52585196"
"China","2018","Mandarin, clementine & citrus hybrids, fresh or dried","Export","864908560","647285143","Weight in kilograms","647285143"
"China","2018","Lemons and limes, fresh or dried","Import","21370655","11043991","Weight in kilograms","11043991"
"China","2018","Lemons and limes, fresh or dried","Export","95285706","44123855","Weight in kilograms","44123855"
"China","2018","Grapefruit, fresh or dried","Import","87032975","79440530","Weight in kilograms","79440530"
"China","2018","Grapefruit, fresh or dried","Export","193284688","230548031","Weight in kilograms","230548031"
"China","2018","Citrus fruits, fresh or dried, nes","Import","26758","24807","Weight in kilograms","24807"
"China","2018","Citrus fruits, fresh or dried, nes","Export","157177","90421","Weight in kilograms","90421"
"China","2018","Grapes, fresh","Import","586198251","231666877","Weight in kilograms","231666877"
"China","2018","Grapes, fresh","Export","689599121","277162127","Weight in kilograms","277162127"
"China","2018","Grapes, dried","Import","52951038","37716564.5474958","Weight in kilograms","37716564.5474958"
"China","2018","Grapes, dried","Export","45736416","23738764","Weight in kilograms","23738764"
"China","2018","Melons (including watermelons), fresh","Import","43745242","219960085","Weight in kilograms","219960085"
