"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","2018","Pig iron, non-alloy, <0.5% phosphorus","Import","22518483","62390911","Weight in kilograms","62390911"
"China","2018","Pig iron, non-alloy, <0.5% phosphorus","Export","770485","1203708","Weight in kilograms","1203708"
"China","2018","Pig iron, non-alloy, >0.5% phosphorus","Import","1901876","6774848.26063837","Weight in kilograms","6774848.26063837"
"China","2018","Alloy pig iron, in primary forms","Import","24846149","23735569","Weight in kilograms","23735569"
"China","2018","Alloy pig iron, in primary forms","Export","4675","110","Weight in kilograms","110"
"China","2018","Ferro-manganese, >2% carbon","Import","18888674","27114901","Weight in kilograms","27114901"
"China","2018","Ferro-manganese, >2% carbon","Export","329963","254000","Weight in kilograms","254000"
"China","2018","Ferro-manganese, <2% carbon","Import","974437","561534","Weight in kilograms","561534"
"China","2018","Ferro-manganese, <2% carbon","Export","1120985","628950","Weight in kilograms","628950"
"China","2018","Ferro-silicon, >55% silicon","Import","37158728","42169965.2205431","Weight in kilograms","42169965.2205431"
"China","2018","Ferro-silicon, >55% silicon","Export","761509405","578123451","Weight in kilograms","578123451"
"China","2018","Ferro-silicon, >55% silicon","Re-Import","18000","24000","Weight in kilograms","24000"
"China","2018","Ferro-silicon, <55% silicon","Import","4679017","","Weight in kilograms","5095969.57186804"
"China","2018","Ferro-silicon, <55% silicon","Export","45190175","33920255","Weight in kilograms","33920255"
"China","2018","Ferro-silico-manganese","Import","32427960","33159293","Weight in kilograms","33159293"
"China","2018","Ferro-silico-manganese","Export","5616468","4465796","Weight in kilograms","4465796"
"China","2018","Ferro-chromium, >4% carbon","Import","2685569741","","Weight in kilograms","2432254122.95293"
"China","2018","Ferro-chromium, >4% carbon","Export","108578851","90844621","Weight in kilograms","90844621"
"China","2018","Ferro-chromium, >4% carbon","Re-Import","3413829","4000400","Weight in kilograms","4000400"
"China","2018","Ferro-chromium, <4% carbon","Import","2560199","735886.764847904","Weight in kilograms","735886.764847904"
"China","2018","Ferro-chromium, <4% carbon","Export","30741843","14665192","Weight in kilograms","14665192"
"China","2018","Ferro-chromium, <4% carbon","Re-Import","29096","63000","Weight in kilograms","63000"
"China","2018","Ferro-silico-chromium","Import","492","50","Weight in kilograms","50"
"China","2018","Ferro-nickel","Import","2509103224","962966510.264299","Weight in kilograms","962966510.264299"
"China","2018","Ferro-nickel","Export","15533449","3756988","Weight in kilograms","3756988"
"China","2018","Ferro-molybdenum","Import","3688685","190199","Weight in kilograms","190199"
"China","2018","Ferro-molybdenum","Export","70814726","3962784","Weight in kilograms","3962784"
"China","2018","Ferro-tungsten and ferro-silico-tungsten","Import","2302","13.8447238928376","Weight in kilograms","13.8447238928376"
"China","2018","Ferro-tungsten and ferro-silico-tungsten","Export","74703110","2630765","Weight in kilograms","2630765"
"China","2018","Ferro-titanium and ferro-silico-titanium","Import","10150462","3162327.54347004","Weight in kilograms","3162327.54347004"
"China","2018","Ferro-titanium and ferro-silico-titanium","Export","1021926","185510","Weight in kilograms","185510"
"China","2018","Ferro-titanium and ferro-silico-titanium","Re-Import","1851","396","Weight in kilograms","396"
"China","2018","Ferro-vanadium","Import","651811","8598.9257987358","Weight in kilograms","8598.9257987358"
"China","2018","Ferro-vanadium","Export","349940565","6153659","Weight in kilograms","6153659"
"China","2018","Ferro-vanadium","Re-Import","111615","1500","Weight in kilograms","1500"
"China","2018","Ferro-niobium","Import","741780302","35908667.3948664","Weight in kilograms","35908667.3948664"
"China","2018","Ferro-niobium","Export","2747350","136000","Weight in kilograms","136000"
"China","2018","Ferro-alloys, nes","Import","40738794","20848714.0623578","Weight in kilograms","20848714.0623578"
"China","2018","Ferro-alloys, nes","Export","366555662","121441217.993911","Weight in kilograms","121441217.993911"
"China","2018","Ferro-alloys, nes","Re-Import","104057","4047","Weight in kilograms","4047"
"China","2018","Ferrous products from direct reduction of iron ore","Import","30277739","108036024.293054","Weight in kilograms","108036024.293054"
"China","2018","Ferrous products from direct reduction of iron ore","Export","4888","11942","Weight in kilograms","11942"
"China","2018","Spongy iron lumps, pellets, etc > 99.94% pure","Import","44966","6392.80690699492","Weight in kilograms","6392.80690699492"
"China","2018","Spongy iron lumps, pellets, etc > 99.94% pure","Export","55427","102001","Weight in kilograms","102001"
"China","2018","Waste or scrap, of cast iron","Import","45840","123638","Weight in kilograms","123638"
"China","2018","Waste or scrap, of cast iron","Export","2017776","24208621","Weight in kilograms","24208621"
"China","2018","Waste or scrap, of stainless steel","Export","505048","771029","Weight in kilograms","771029"
"China","2018","Waste or scrap, of alloy steel, other than stainless","Import","97549938","146101332","Weight in kilograms","146101332"
"China","2018","Waste or scrap, of alloy steel, other than stainless","Export","10655","25822","Weight in kilograms","25822"
"China","2018","Waste or scrap, of tinned iron or steel","Import","128551","120010","Weight in kilograms","120010"
"China","2018","Waste or scrap, of tinned iron or steel","Export","34709","688190","Weight in kilograms","688190"
"China","2018","Waste from the mechanical working of iron or steel ne","Import","3782976","6624650","Weight in kilograms","6624650"
"China","2018","Waste from the mechanical working of iron or steel ne","Export","1294815","7661866","Weight in kilograms","7661866"
"China","2018","Ferrous waste or scrap, nes","Import","673400637","1189751003","Weight in kilograms","1189751003"
"China","2018","Ferrous waste or scrap, nes","Export","44998418","303097471","Weight in kilograms","303097471"
"China","2018","Ferrous waste or scrap, nes","Re-Import","13910829","43110196","Weight in kilograms","43110196"
"China","2018","Remelting scrap ingots, of iron or steel","Export","7","21","Weight in kilograms","21"
"China","2018","Granules of pig iron or spiegeleisen","Import","28655726","","Weight in kilograms","4203549.99643959"
"China","2018","Granules of pig iron or spiegeleisen","Export","62679904","100218046","Weight in kilograms","100218046"
"China","2018","Granules of pig iron or spiegeleisen","Re-Import","414","11.1466914499545","Weight in kilograms","11.1466914499545"
"China","2018","Powders, alloy steel","Import","169723563","55734928.8639632","Weight in kilograms","55734928.8639632"
"China","2018","Powders, alloy steel","Export","47096818","29899597","Weight in kilograms","29899597"
"China","2018","Powders, alloy steel","Re-Import","51900","20130","Weight in kilograms","20130"
"China","2018","Powders, iron or steel, other than alloy","Import","108711982","66354192.6932559","Weight in kilograms","66354192.6932559"
"China","2018","Powders, iron or steel, other than alloy","Export","44894934","39783176","Weight in kilograms","39783176"
"China","2018","Powders, iron or steel, other than alloy","Re-Import","33835","53050","Weight in kilograms","53050"
